run,sourceType,sourcePosition,whichSet,nEvents
5279,wTh,S5,val,16116
5787,wTh,S5,val,15820
5872,wTh,S5,val,15828
5362,wTh,S5,val,17037
3868,wTh,S5,val,15526
3791,wTh,S5,val,15517
3998,wTh,S5,val,15531
4597,wTh,S5,val,15464
4870,wTh,S5,val,19361
5531,wTh,S5,val,14464
4110,wTh,S5,val,15635
4729,wTh,S5,val,16680
5224,wTh,S5,val,17304
5264,wTh,S5,val,16151
4217,wTh,S5,val,7361
4463,wTh,S5,val,19130
4151,wTh,S5,val,1457
5030,wTh,S5,val,18030
4395,wTh,S5,val,15602
4551,wTh,S5,val,15557
3935,wTh,S5,val,12269
5644,wTh,S5,val,15641
3889,wTh,S5,val,15390
4982,wTh,S5,val,15870
3983,wTh,S5,val,15511
5609,wTh,S5,val,16022
4009,wTh,S5,val,15599
5717,wTh,S5,test,15714
5662,wTh,S5,test,15967
5539,wTh,S5,test,19610
4064,wTh,S5,test,15643
4389,wTh,S5,test,15766
5018,wTh,S5,test,29566
5618,wTh,S5,test,13693
4715,wTh,S5,test,15965
4270,wTh,S5,test,15945
4427,wTh,S5,test,15315
4735,wTh,S5,test,15626
4094,wTh,S5,test,44227
5942,wTh,S5,test,15852
5357,wTh,S5,test,17122
5624,wTh,S5,test,36862
4766,wTh,S5,test,13754
3856,wTh,S5,test,6959
4228,wTh,S5,test,15927
5189,wTh,S5,test,28798
5395,wTh,S5,test,15926
4414,wTh,S5,test,16670
4300,wTh,S5,test,15790
4184,wTh,S5,test,9
5013,wTh,S5,test,24704
5008,wTh,S5,test,15800
3765,wTh,S5,test,15497
5949,wTh,S5,test,15310
5792,wTh,S5,test,15991
4303,wTh,S5,test,16007
4123,wTh,S5,test,16241
5538,wTh,S5,test,20829
3794,wTh,S5,test,15575
4328,wTh,S5,test,8847
5894,wTh,S5,test,2
3962,wTh,S5,test,9444
5640,wTh,S5,test,17407
4153,wTh,S5,test,3170
3848,wTh,S5,test,15550
3800,wTh,S5,test,15384
4571,wTh,S5,test,15773
4080,wTh,S5,test,15350
5553,wTh,S5,test,14076
5131,wTh,S5,test,4480
4590,wTh,S5,test,15915
5078,wTh,S5,test,5578
5598,wTh,S5,test,17464
4152,wTh,S5,test,2878
6106,wTh,S5,test,15386
4277,wTh,S5,test,25234
4483,wTh,S5,test,15629
5099,wTh,S5,test,15924
4596,wTh,S5,test,1640
3778,wTh,S5,test,16045
4697,wTh,S5,test,16132
6230,wTh,S5,test,15732
3956,wTh,S5,test,15609
5939,wTh,S5,test,16864
3909,wTh,S5,test,15360
4528,wTh,S5,test,15533
4692,wTh,S5,test,15715
3790,wTh,S5,test,1534
4450,wTh,S2,train,8311
5057,wTh,S2,train,11189
5077,wTh,S2,train,83
5056,wTh,S2,train,10383
4451,wTh,S2,train,9167
5118,wTh,S2,train,6256
5396,wTh,S2,val,22080
4449,wTh,S2,test,7575
5058,wTh,S2,test,22158
4770,wTh,S8,train,6279
5049,wTh,S8,train,972
5045,wTh,S8,train,447
5046,wTh,S8,train,390
4769,wTh,S8,train,8146
5047,wTh,S8,val,408
6190,wTh,S8,test,6103
5048,wTh,S8,test,494
5050,wTh,S11,train,77
5052,wTh,S11,train,18025
4771,wTh,S11,train,9176
5053,wTh,S11,train,14395
4772,wTh,S11,val,9160
5051,wTh,S11,test,14317
4830,wTh,Other,train,10291
4835,wTh,Other,train,14021
5123,wTh,Other,train,22749
4828,wTh,Other,train,9345
4836,wTh,Other,train,10317
4839,wTh,Other,train,14023
4829,wTh,Other,train,14124
4827,wTh,Other,val,551
4773,wTh,Other,test,7788
4841,wTh,Other,test,14087
3420,sTh,S5,train,923
2447,sTh,S5,train,0
2444,sTh,S5,train,0
2434,sTh,S5,train,0
3424,sTh,S5,train,1642
3428,sTh,S5,train,2806
3425,sTh,S5,train,1730
2445,sTh,S5,val,0
2426,sTh,S5,test,0
2446,sTh,S5,test,0
3416,sTh,S2,train,2014
2433,sTh,S2,train,0
4098,sTh,S2,val,3770
2432,sTh,S2,test,0
5866,sTh,S8,train,4474
3423,sTh,S8,train,2269
4097,sTh,S8,train,4414
5827,sTh,S8,train,4529
5831,sTh,S8,train,2140
5862,sTh,S8,train,4450
5828,sTh,S8,train,4440
5865,sTh,S8,train,4390
5869,sTh,S8,train,4466
5863,sTh,S8,train,4343
5864,sTh,S8,train,4435
5870,sTh,S8,val,4505
5829,sTh,S8,val,4408
5867,sTh,S8,val,4404
2431,sTh,S8,test,0
5830,sTh,S8,test,4407
5868,sTh,S8,test,4412
2448,sTh,S11,train,0
4096,sTh,S11,train,36915
5859,sTh,S11,train,4568
4095,sTh,S11,train,85
5860,sTh,S11,val,4771
5861,sTh,S11,test,6131
3421,sTh,S11,test,16979
3427,sTh,S17,train,16710
3426,sTh,S17,train,1080
5851,sTh,S17,train,4693
5855,sTh,S17,train,4490
5854,sTh,S17,train,4631
5856,sTh,S17,train,4664
5843,sTh,S17,train,1727
5857,sTh,S17,val,5261
4099,sTh,S17,val,32756
5852,sTh,S17,test,4675
5853,sTh,S17,test,4423
5838,sTh,Other,train,4049
5842,sTh,Other,train,4085
5335,Ra,S5,train,18233
5336,Ra,S5,train,17823
5330,Ra,S5,train,14251
5796,Ra,S5,train,331
5803,Ra,S5,train,22612
5331,Ra,S5,train,14028
5327,Ra,S5,train,18111
5797,Ra,S5,train,17941
5329,Ra,S5,train,18119
5798,Ra,S5,train,17772
5328,Ra,S5,train,18273
5802,Ra,S5,train,18659
5334,Ra,S5,train,18097
5804,Ra,S5,train,18071
5801,Ra,S5,val,18342
5332,Ra,S5,val,20255
5805,Ra,S5,val,3826
5333,Ra,S5,test,17955
5799,Ra,S5,test,17804
5800,Ra,S5,test,18000
5795,Ra,S2,train,10338
5322,Ra,S2,train,58
5323,Ra,S2,train,155
5326,Ra,S2,train,11264
5325,Ra,S2,val,11097
5818,Ra,S2,test,13868
5794,Ra,S2,test,10357
5806,Ra,S8,train,14002
5809,Ra,S8,train,18895
5807,Ra,S8,test,14181
5810,Ra,Other,train,18005
5815,Ra,Other,train,21329
5812,Ra,Other,train,17597
5813,Ra,Other,train,20584
5817,Ra,Other,train,19839
5811,Ra,Other,val,18053
5814,Ra,Other,test,17704
5816,Ra,Other,test,19286
5348,wCo,S5,train,49533
5370,wCo,S5,train,38381
4104,wCo,S5,train,53
6045,wCo,S5,train,50001
5824,wCo,S5,train,48380
5349,wCo,S5,train,49228
5371,wCo,S5,train,36618
4101,wCo,S5,train,2235
5344,wCo,S5,train,38407
4102,wCo,S5,train,143
4788,wCo,S5,train,20950
4103,wCo,S5,train,23769
5343,wCo,S5,train,50001
5346,wCo,S5,train,50001
5345,wCo,S5,train,42634
4439,wCo,S5,train,50001
4787,wCo,S5,train,21478
5341,wCo,S5,train,38016
4438,wCo,S5,val,127
5063,wCo,S5,val,28548
4106,wCo,S5,val,47
4105,wCo,S5,val,31
5347,wCo,S5,test,49372
5342,wCo,S5,test,38564
4100,wCo,S5,test,2778
5825,wCo,S5,test,48281
5062,wCo,S5,test,50001
5064,wCo,S2,train,29874
4443,wCo,S2,train,19923
4442,wCo,S2,val,21611
4444,wCo,S2,test,19940
4785,wCo,S8,train,17138
4786,wCo,S8,train,16148
5066,wCo,S8,test,21855
5068,wCo,S11,train,10294
4789,wCo,S11,train,20306
5069,wCo,S11,train,50001
4790,wCo,S11,val,20506
5067,wCo,S11,test,50001
2620,sCo,S5,train,0
2708,sCo,S5,train,0
2674,sCo,S5,train,0
2635,sCo,S5,train,0
2496,sCo,S5,train,0
2646,sCo,S5,val,0
2578,sCo,S5,test,0
2543,sCo,S5,test,0
2480,sCo,S2,train,0
2689,sCo,S2,train,0
2566,sCo,S2,train,0
2667,sCo,S2,train,0
2690,sCo,S2,train,0
2691,sCo,S2,train,0
2538,sCo,S2,train,0
2479,sCo,S2,val,0
2640,sCo,S2,test,0
2608,sCo,S2,test,0
2596,sCo,S8,train,0
2555,sCo,S8,train,0
2653,sCo,S8,train,0
2634,sCo,S8,train,0
2526,sCo,S8,val,0
2683,sCo,S8,test,0
2469,Cs,S5,train,0
4777,Cs,S5,train,5
4779,Cs,S5,train,4
2473,Cs,S5,train,3
4778,Cs,S5,train,4
5820,Cs,S5,train,108
5822,Cs,S5,train,92
5074,Cs,S5,train,2
5339,Cs,S5,train,8
5072,Cs,S5,train,1
6048,Cs,S5,train,159
4780,Cs,S5,val,7
2449,Cs,S5,val,0
5073,Cs,S5,test,4
5338,Cs,S5,test,5
4781,Cs,S5,test,2
2450,Cs,S2,train,0
